movie_id,title,genres,movieId
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1
2,Jumanji (1995),Adventure|Children|Fantasy,2
3,Grumpier Old Men (1995),Comedy|Romance,3
4,Waiting to Exhale (1995),Comedy|Drama|Romance,4
5,Father of the Bride Part II (1995),Comedy,5
6,Heat (1995),Action|Crime|Thriller,6
7,Sabrina (1995),Comedy|Romance,7
8,Tom and Huck (1995),Adventure|Children,8
9,Sudden Death (1995),Action,9
10,GoldenEye (1995),Action|Adventure|Thriller,10
11,"American President, The (1995)",Comedy|Drama|Romance,11
12,Dracula: Dead and Loving It (1995),Comedy|Horror,12
13,Balto (1995),Adventure|Animation|Children,13
14,Nixon (1995),Drama,14
15,Cutthroat Island (1995),Action|Adventure|Romance,15
16,Casino (1995),Crime|Drama,16
17,Sense and Sensibility (1995),Drama|Romance,17
18,Four Rooms (1995),Comedy,18
19,Ace Ventura: When Nature Calls (1995),Comedy,19
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,20
21,Get Shorty (1995),Comedy|Crime|Thriller,21
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,22
23,Assassins (1995),Action|Crime|Thriller,23
24,Powder (1995),Drama|Sci-Fi,24
25,Leaving Las Vegas (1995),Drama|Romance,25
26,Othello (1995),Drama,26
27,Now and Then (1995),Children|Drama,27
28,Persuasion (1995),Drama|Romance,28
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,29
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,30
31,Dangerous Minds (1995),Drama,31
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,32
33,Wings of Courage (1995),Adventure|Romance|IMAX,33
34,Babe (1995),Children|Drama,34
35,Carrington (1995),Drama|Romance,35
36,Dead Man Walking (1995),Crime|Drama,36
37,Across the Sea of Time (1995),Documentary|IMAX,37
38,It Takes Two (1995),Children|Comedy,38
39,Clueless (1995),Comedy|Romance,39
40,"Cry, the Beloved Country (1995)",Drama,40
41,Richard III (1995),Drama|War,41
42,Dead Presidents (1995),Action|Crime|Drama,42
43,Restoration (1995),Drama,43
44,Mortal Kombat (1995),Action|Adventure|Fantasy,44
45,To Die For (1995),Comedy|Drama|Thriller,45
46,How to Make an American Quilt (1995),Drama|Romance,46
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,47
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,48
49,When Night Is Falling (1995),Drama|Romance,49
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,50
51,Guardian Angel (1994),Action|Drama|Thriller,51
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,52
53,Lamerica (1994),Adventure|Drama,53
54,"Big Green, The (1995)",Children|Comedy,54
55,Georgia (1995),Drama,55
56,Kids of the Round Table (1995),Adventure|Children|Fantasy,56
57,Home for the Holidays (1995),Drama,57
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,58
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,59
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,60
61,Eye for an Eye (1996),Drama|Thriller,61
62,Mr. Holland's Opus (1995),Drama,62
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,63
64,Two if by Sea (1996),Comedy|Romance,64
65,Bio-Dome (1996),Comedy,65
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,66
67,Two Bits (1995),Drama,67
68,French Twist (Gazon maudit) (1995),Comedy|Romance,68
69,Friday (1995),Comedy,69
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,70
71,Fair Game (1995),Action,71
72,Kicking and Screaming (1995),Comedy|Drama,72
73,"Misérables, Les (1995)",Drama|War,73
74,Bed of Roses (1996),Drama|Romance,74
75,Big Bully (1996),Comedy|Drama,75
76,Screamers (1995),Action|Sci-Fi|Thriller,76
77,Nico Icon (1995),Documentary,77
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,78
79,"Juror, The (1996)",Drama|Thriller,79
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,80
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,81
82,Antonia's Line (Antonia) (1995),Comedy|Drama,82
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,83
84,Last Summer in the Hamptons (1995),Comedy|Drama,84
85,Angels and Insects (1995),Drama|Romance,85
86,White Squall (1996),Action|Adventure|Drama,86
87,Dunston Checks In (1996),Children|Comedy,87
88,Black Sheep (1996),Comedy,88
89,Nick of Time (1995),Action|Thriller,89
90,"Journey of August King, The (1995)",Drama,90
91,Mary Reilly (1996),Drama|Horror|Thriller,92
92,Vampire in Brooklyn (1995),Comedy|Horror|Romance,93
93,Beautiful Girls (1996),Comedy|Drama|Romance,94
94,Broken Arrow (1996),Action|Adventure|Thriller,95
95,In the Bleak Midwinter (1995),Comedy|Drama,96
96,"Hate (Haine, La) (1995)",Crime|Drama,97
97,Shopping (1994),Action|Thriller,98
98,Heidi Fleiss: Hollywood Madam (1995),Documentary,99
99,City Hall (1996),Drama|Thriller,100
100,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,101
101,Mr. Wrong (1996),Comedy,102
102,Unforgettable (1996),Mystery|Sci-Fi|Thriller,103
103,Happy Gilmore (1996),Comedy,104
104,"Bridges of Madison County, The (1995)",Drama|Romance,105
105,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,106
106,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,107
107,Catwalk (1996),Documentary,108
108,Headless Body in Topless Bar (1995),Comedy|Drama|Thriller,109
109,Braveheart (1995),Action|Drama|War,110
110,Taxi Driver (1976),Crime|Drama|Thriller,111
111,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,112
112,Before and After (1996),Drama|Mystery,113
113,Margaret's Museum (1995),Drama,114
114,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",Comedy,115
115,Anne Frank Remembered (1995),Documentary,116
116,"Young Poisoner's Handbook, The (1995)",Crime|Drama,117
117,If Lucy Fell (1996),Comedy|Romance,118
118,"Steal Big, Steal Little (1995)",Comedy,119
119,Race the Sun (1996),Adventure|Comedy|Drama,120
120,"Boys of St. Vincent, The (1992)",Drama,121
121,Boomerang (1992),Comedy|Romance,122
122,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,123
123,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,124
124,Flirting With Disaster (1996),Comedy,125
125,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,126
126,"Silences of the Palace, The (Saimt el Qusur) (1994)",Drama,127
127,Jupiter's Wife (1994),Documentary,128
128,Pie in the Sky (1996),Comedy|Romance,129
129,Angela (1995),Drama,130
130,Frankie Starlight (1995),Drama|Romance,131
131,Jade (1995),Thriller,132
132,Nueba Yol (1995),Comedy|Drama,133
133,Sonic Outlaws (1995),Documentary,134
134,Down Periscope (1996),Comedy,135
135,From the Journals of Jean Seberg (1995),Documentary,136
136,Man of the Year (1995),Documentary,137
137,"Neon Bible, The (1995)",Drama,138
138,Target (1995),Action|Drama,139
139,Up Close and Personal (1996),Drama|Romance,140
140,"Birdcage, The (1996)",Comedy,141
141,Shadows (Cienie) (1988),Drama,142
142,Gospa (1995),Drama,143
143,"Brothers McMullen, The (1995)",Comedy,144
144,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,145
145,"Amazing Panda Adventure, The (1995)",Adventure|Children,146
146,"Basketball Diaries, The (1995)",Drama,147
147,"Awfully Big Adventure, An (1995)",Drama,148
148,Amateur (1994),Crime|Drama|Thriller,149
149,Apollo 13 (1995),Adventure|Drama|IMAX,150
150,Rob Roy (1995),Action|Drama|Romance|War,151
151,"Addiction, The (1995)",Drama|Horror,152
152,Batman Forever (1995),Action|Adventure|Comedy|Crime,153
153,Beauty of the Day (Belle de jour) (1967),Drama,154
154,Beyond Rangoon (1995),Adventure|Drama|War,155
155,Blue in the Face (1995),Comedy|Drama,156
156,Canadian Bacon (1995),Comedy|War,157
157,Casper (1995),Adventure|Children,158
158,Clockers (1995),Crime|Drama|Mystery,159
