user_id,movie_id,rating
2183,3675,2.0
1537,24499,2.0
1973,7893,1.5
33,14452,4.0
196,12849,4.5
2109,9783,4.5
1264,17648,3.5
1693,8195,4.5
1279,1146,3.5
2329,7751,3.5
669,2666,3.0
2442,8550,4.0
180,26029,4.5
2095,1197,4.5
2753,23217,3.5
2043,21885,5.0
1045,12227,4.0
2081,865,3.5
271,10352,4.5
2428,16116,4.0
639,16301,4.0
529,22840,3.5
2965,7500,2.0
48,23598,4.5
399,20447,4.5
2330,24480,2.5
2689,17371,3.5
2170,6956,3.5
2486,18401,2.5
914,9601,4.0
437,9244,4.5
232,1381,4.0
2279,23578,4.5
734,16129,5.0
1793,3772,4.5
378,8301,4.0
2688,17149,4.0
2960,11080,4.0
57,14417,3.5
545,16185,4.5
2079,17357,4.5
2247,10524,4.5
878,1922,4.5
1890,2349,4.0
978,14338,4.0
1069,17945,4.0
1763,6601,4.5
662,4307,4.0
986,23321,3.0
1536,4020,3.5
767,11774,5.0
593,17332,4.5
347,26562,5.0
167,25728,3.5
1740,20682,4.5
1607,21940,4.5
2252,24518,3.5
525,23399,4.5
1147,110,4.5
431,2690,4.5
983,7283,4.5
966,7858,4.5
1,26102,4.0
2434,23606,4.0
2048,19185,4.0
973,17627,3.5
2388,1748,4.5
843,1596,3.5
1314,22291,3.0
1706,27199,0.5
1529,22698,4.0
2704,18449,2.5
881,10325,5.0
862,6747,4.0
2382,22657,4.5
1845,11241,4.0
2733,20337,5.0
387,11887,5.0
1442,16372,3.5
2489,20715,3.5
887,6424,4.5
2468,16542,4.0
1927,237,4.5
2670,1850,3.5
1151,5678,5.0
1675,14739,4.0
2449,4279,4.0
2822,2818,3.5
1150,19712,4.5
2356,12427,3.5
1313,22243,2.5
100,18223,4.0
2889,2386,4.0
1154,9113,3.5
1698,21653,3.5
1509,26996,4.0
2561,6918,4.0
311,20962,4.5
511,24537,5.0
2585,15741,3.5
1033,13926,4.0
460,25590,3.5
2498,26213,3.0
2509,15532,3.0
443,22295,4.5
1481,10861,5.0
251,21483,4.0
1111,19537,5.0
2848,5959,4.5
2422,20681,4.5
1918,10693,4.0
2446,24862,2.5
1531,19322,3.5
577,13251,3.5
2765,17783,5.0
1620,4736,4.5
134,12857,4.5
2434,14655,4.5
311,15081,4.0
1439,6659,4.5
573,2435,3.0
1688,23007,4.5
2317,9432,4.0
1826,17773,4.0
543,7941,4.0
2753,19869,4.0
2225,6264,3.5
2885,6568,5.0
62,7436,2.0
2872,14819,3.0
1066,10058,4.5
525,15665,4.5
1653,2725,4.0
159,9704,5.0
974,24926,4.5
1811,5217,4.0
1311,13394,3.0
1409,779,4.0
2825,15309,4.0
986,25845,4.5
509,1981,3.0
2794,8561,3.5
714,19161,4.0
2724,18030,4.0
1138,12424,3.5
2873,12351,3.0
2105,18958,3.5
2275,24242,4.0
213,13885,4.0
1353,9149,3.5
899,2557,4.5
2347,7371,3.5
2350,6831,4.0
2563,27000,5.0
343,9729,4.0
1417,19029,4.0
2961,20320,3.5
734,4099,5.0
2583,9344,5.0
1286,10262,4.5
1577,14604,3.0
1964,16134,3.5
498,20870,3.5
1556,6566,3.5
2670,9143,4.0
1751,2469,4.5
2901,18809,5.0
2023,26874,4.5
1026,24518,3.5
1070,16501,4.0
774,12653,4.0
2985,9709,5.0
1316,9826,3.5
2400,5693,3.5
315,17844,3.5
750,10402,2.0
1274,19707,3.5
493,6675,4.5
2959,2393,4.0
123,21883,3.5
1698,27208,5.0
246,5522,3.0
276,4823,4.0
1013,18267,4.5
226,26207,3.0
509,8843,3.5
1731,3831,3.5
1782,11748,3.5
2851,18558,3.0
1181,6694,4.5
501,8661,5.0
2108,19432,3.0
2006,25939,4.0
2697,26805,4.5
1235,11744,4.0
580,22127,4.0
1603,24425,4.5
1432,638,3.5
460,25700,1.5
2393,16196,4.5
2298,9697,3.5
1389,25223,4.5
1233,143,4.5
28,1145,2.5
308,24995,4.0
2399,16659,4.0
1073,25358,3.0
148,17592,3.5
1389,14630,3.0
448,26322,4.5
2797,2695,3.5
2449,16353,4.0
1912,25838,4.5
1130,5578,4.5
2662,4584,4.0
1002,23680,5.0
2636,9442,3.5
1217,13827,3.5
676,17072,3.5
735,4779,5.0
96,19926,4.0
1081,24195,4.0
1398,22827,4.0
1012,18491,4.0
2701,17559,3.0
2529,1429,4.0
2534,13370,3.5
1370,17653,3.5
1130,3624,3.5
1497,10575,4.0
51,16929,4.0
1306,23752,5.0
2643,741,4.5
2433,21330,4.5
2696,8071,4.0
896,26595,1.5
2781,25108,4.5
2535,7111,3.0
638,3252,4.0
471,22964,4.0
1900,23455,3.0
1361,15266,4.5
1747,15022,4.0
270,25225,4.5
856,25058,4.5
1575,19854,2.0
2390,221,4.0
761,14236,3.0
2109,11506,2.5
2170,11273,5.0
2433,6848,3.0
2219,3381,4.5
862,20577,4.5
2217,4862,4.0
2919,2143,4.0
124,18967,3.5
302,1236,4.0
310,21347,3.5
47,25751,5.0
2515,19239,4.0
874,22517,4.0
581,12145,1.5
389,9421,2.0
2228,15804,4.5
2496,21988,4.0
2595,24202,4.0
2541,25614,3.0
1627,25438,3.0
873,24250,3.5
2232,25695,3.5
1826,11627,4.5
1005,15812,4.5
159,9677,4.0
733,26137,5.0
1101,10656,4.0
2958,17661,3.0
54,6815,4.5
698,12006,4.5
2139,19693,4.0
2832,13755,5.0
1047,6940,4.5
583,8858,4.0
2895,3428,4.5
1881,9646,4.5
2956,12475,4.0
586,8922,5.0
859,16942,4.0
2379,8576,5.0
1082,191,3.5
2199,23395,5.0
1914,17583,3.5
1750,15948,3.5
2152,14756,3.5
2249,15716,3.5
476,24577,3.5
1202,11505,3.5
2617,4057,3.5
1534,6397,5.0
1224,8129,5.0
458,9507,4.5
1019,1320,3.5
2766,16965,3.5
2353,21360,3.5
696,7594,4.5
994,23599,5.0
469,9570,5.0
249,24510,5.0
960,24693,4.0
1996,21623,3.0
381,1818,2.5
472,12858,5.0
2781,17492,3.5
2250,5703,3.5
1099,1314,2.5
2480,26033,4.0
2891,6761,4.5
1081,22937,3.0
1352,7207,4.0
2972,16826,4.5
1683,24465,3.0
304,4124,2.5
101,21336,5.0
2277,11937,4.5
2857,13800,3.0
2900,5638,2.5
1156,17386,3.0
2665,23893,3.0
655,15187,5.0
2823,22219,0.5
2196,22553,3.5
480,18563,3.5
2814,18232,5.0
1063,25786,4.0
269,9352,2.0
880,24229,4.5
530,18934,5.0
1028,20410,5.0
2644,13534,4.0
2176,18388,5.0
77,26351,4.0
1042,11601,4.5
2427,25141,4.5
337,13979,4.5
2219,27015,4.0
2481,26930,3.5
2524,21491,3.0
378,9376,4.5
2991,23176,4.0
2101,15237,3.0
125,1164,2.5
558,25329,3.5
1905,1097,5.0
2535,11429,4.5
2808,701,4.5
2867,24915,4.0
1684,15107,3.0
1267,7682,4.0
2490,23144,5.0
1517,24012,3.5
1382,7788,5.0
141,4294,2.5
661,2965,4.5
2261,10765,4.0
1233,15760,4.0
1311,14833,3.0
2245,15543,4.0
2572,23919,4.5
694,9598,4.5
1140,1635,4.5
550,2437,4.0
2175,19655,4.0
2500,2381,4.0
2558,3013,3.0
1489,9900,5.0
2861,20517,4.0
2127,3737,5.0
1340,24738,3.0
906,13947,3.5
125,4994,4.0
921,13874,3.5
2389,13633,3.5
1805,22431,4.5
2824,10136,4.0
1658,26372,4.5
893,15395,5.0
1106,17124,5.0
137,4562,4.0
2556,15897,2.5
2183,22054,4.0
1272,7556,3.5
1633,647,4.0
1282,21874,5.0
568,12310,3.0
1394,24394,5.0
1091,22224,5.0
1458,7737,4.5
459,16626,4.5
2960,6540,4.0
2133,11201,4.0
2305,14363,5.0
1732,11672,4.5
2806,7386,4.5
530,3597,3.5
1551,20661,5.0
288,6592,4.5
2841,16848,4.5
1725,7071,4.0
279,19455,3.0
1629,19205,4.0
229,23174,4.5
1844,5790,4.5
2097,24881,2.5
1737,16579,4.5
61,6999,4.0
2544,22638,4.0
1673,17381,4.5
1467,23511,4.0
2107,24814,4.5
1058,10451,4.0
339,13730,3.5
446,11784,3.0
1008,14710,4.0
